id;question;correct_answer;incorrect_answer_1;incorrect_answer_2;incorrect_answer_3;difficulty;module_id;explanation;status
14;Welche der folgenden Testarten ist speziell darauf ausgerichtet, sicherzustellen, dass eine Softwareeinheit nach Modifikationen immer noch gemäß den Anforderungen funktioniert?;Regressionstest;Unittest;Integrationstest;Systemtest;3;2;Der Regressionstest zielt darauf ab sicherzustellen, dass nach Modifikationen an einer Softwareeinheit keine neuen Fehler eingeführt wurden und dass die Software weiterhin gemäß den ursprünglichen Anforderungen funktioniert. Dies beinhaltet das erneute Testen von bereits überprüften Funktionen, um Regressionen zu vermeiden.;published
17;Welches Designprinzip besagt, dass Softwarekomponenten so gestaltet sein sollten, dass sie für Erweiterungen offen, aber für Modifikationen geschlossen sind?;Open/Closed Principle;Liskov Substitution Principle;Single Responsibility Principle;Dependency Inversion Principle;3;2;Das Open/Closed Principle (Offen-Geschlossen-Prinzip) besagt, dass Softwarekomponenten so entworfen werden sollten, dass sie für Erweiterungen offen, aber für Modifikationen geschlossen sind. Neue Funktionalitäten sollten durch Hinzufügen neuer Klassen oder Module hinzugefügt werden können, ohne bestehenden Code zu verändern. Dies fördert die Flexibilität und Wartbarkeit von Software.;published
18;Welches Softwareentwicklungsmodell betont die iterative Entwicklung, enge Zusammenarbeit mit Kunden und schnelle Anpassung an sich ändernde Anforderungen?;Wasserfallmodell;Agile Modell;V-Modell;Spiralmodell;3;2;Das Wasserfallmodell ist nicht bekannt für iterative Entwicklung und schnelle Anpassung an sich ändernde Anforderungen. Die Beschreibung passt besser zu agilen Entwicklungsmodellen wie Scrum oder dem agilen Manifest.;published
80;Operative Systeme...;stellen die Quellen der Daten für dispositive Systeme dar.;unterstützen gezielt Geschäftsprozesse und Aktivitäten in Organisationen und müssen daher in jedem Fall immer organisationsspezifisch angepasst werden.;sind eine Klasse von betrieblichen Informationssystemen, die in der Regel als Standardsoftware gekauft und dann installiert werden.;sind verantwortlich für die Steuerung von Computernetzwerken.;3;2;Operative Systeme (oder operative Informationssysteme) sind verantwortlich für die täglichen operativen Geschäftsprozesse und stellen die Quellen der Daten für dispositive (entscheidungsunterstützende) Systeme dar. Diese Systeme bieten die Grundlage für Entscheidungen auf höherer Ebene in einer Organisation.;published
84;Die Anforderungen an das zu erstellende Softwaresystem...;bilden den Ausgangspunkt für alle wesentlichen Aktivitäten im Software Engineering, können jedoch zu Beginn eines Projekts nicht vollständig ermittelt werden.;verändern sich typischerweise nicht im Verlauf eines Softwareprojekts.;bilden den Ausgangspunkt für alle wesentlichen Aktivitäten im Software Engineering. Das bedeutet, sie müssen zu Beginn eines Projekts vollständig ermittelt werden.;sind standardisiert;3;2;Anforderungen bilden den Ausgangspunkt für alle wesentlichen Aktivitäten im Software Engineering. Sie legen fest, was das System erreichen soll. Oft können Anforderungen zu Beginn eines Projekts nicht vollständig ermittelt werden und können sich im Laufe der Zeit ändern. Ein flexibler Ansatz zur Anforderungsänderung ist wichtig.;published
85;Bei der Erstellung von Softwaresystemen ... ;ist fehlendes Fachwissen auf der Seite der Softwareentwickler eine mögliche Ursache für gescheiterte Softwareprojekte.;ist Kommunikation nicht relevant da alles gut dokumentiert wird.;müssen sich die Entwickler ausschließlich auf die eingesetzten Technologien konzentrieren, denn neue Technologien haben für den Anwender immer den größten Nutzen.;ist es unwichtig, klare Anforderungen zu definieren.;3;2;Fehlendes Fachwissen auf der Seite der Softwareentwickler kann zu gescheiterten Softwareprojekten führen. Ein tiefes Verständnis der Anforderungen, der verwendeten Technologien und bewährter Praktiken ist entscheidend für den Erfolg eines Softwareprojekts.;published
86;Zu den Herausforderungen im Software Engineering...;zählt der Umgang mit bzw. das Aushalten von wirtschaftlicher Ungewissheit, denn erst am Ende eines Projekts können die Kosten genau beziffert werden.;zählt die technologische Ungewissheit nur bedingt, denn die Softwareentwickler konzentrieren sich ausschließlich auf technologische Aspekte innerhalb des Projekts.;zählt die Erstellung und Aufrechterhaltung der Kooperationsbereitschaft der Stakeholder nicht.;gehört die vorhersagbare und exakte Kostenschätzung.;3;2;Der Umgang mit wirtschaftlicher Unsicherheit, insbesondere die genaue Kostenabschätzung, ist eine Herausforderung im Software Engineering. Da viele Faktoren während eines Projekts variieren können, ist es oft schwer, die genauen Kosten zu Beginn abzuschätzen.;published
87;Die Phasen des Softwarelebenszyklus ... ;markieren die aktuelle Situation eines Softwaresystems bezogen auf dem gesamten Lebenszyklus.;werden für die mittel- aber nicht für die langfristige Projektplanung genutzt.;können immer genau voneinander abgegrenzt werden.;beeinflussen nicht die Qualität des Endprodukts.;3;2;Die Phasen des Softwarelebenszyklus markieren nicht die aktuelle Situation eines Softwaresystems. Der Softwarelebenszyklus umfasst typischerweise Phasen wie Planung, Analyse, Design, Implementierung, Test, Bereitstellung und Wartung. Jede Phase hat ihre eigenen Ziele und Aktivitäten im gesamten Lebenszyklus eines Softwareprodukts.;published
40;Welche der folgenden Formeln ist äquivalent zu NOT(A => B)?;A AND NOT(B);A OR NOT(B);NOT(A) OR B;NOT(A) AND B;1;3;Die Äquivalenz zu NOT(A => B) lautet A AND NOT(B). Das entspricht der Verneinung der Implikation, was bedeutet, dass A wahr ist und B falsch ist.;published
41;Eine Formel ist genau dann erfüllbar, wenn ...;ihre Verneinung falsifizierbar ist.;ihre Verneinung unerfüllbar ist.;ihre Verneinung allgemeingültig ist.;ihre Verneinung erfüllbar ist.;1;3;Eine Formel ist genau dann erfüllbar (hat mindestens eine wahre Belegung), wenn ihre Verneinung nicht allgemeingültig ist, was bedeutet, dass es eine Belegung gibt, die die Verneinung falsifiziert.;published
42;Welche der folgenden Mengen von Operatoren bildet eine vollständige Basis für die Aussagenlogik?;NAND;NOT;AND;AND und OR;1;3;Die Menge der NAND-Operatoren bildet eine vollständige Basis für die Aussagenlogik, was bedeutet, dass alle anderen aussagenlogischen Operatoren durch Kombination von NAND nachgebildet werden können.;published
43;Wie viele Wahrheitswerte werden bei der Umsetzung der Aussagenlogik in Programmiersprachen wie Java genutzt?;3;4;0;2;1;3;In der Aussagenlogik werden üblicherweise nur zwei Wahrheitswerte verwendet: Wahr (True) und Falsch (False). Die Antwort ist daher falsch.;published
44;Gegeben die beiden Terme P(f(x)) und P(y). Wie lautet ein allgemeinster Unifikator dieser beiden Terme?;y -> f(x);x -> 1, y -> f(1);f(x) -> y;Es gibt keinen allgemeinsten Unifikator dieser Terme.;1;3;Der allgemeinste Unifikator für die beiden Terme P(f(x)) und P(y) ist die Substitution y -> f(x). Dies bedeutet, dass y durch f(x) ersetzt werden kann, um die beiden Terme identisch zu machen.;published
58;Von einem Petri-Netz weiß man, dass es lebendig ist. Welche weitere Eigenschaft des Netzes kann man daraus schließen?;Deadlock-Freiheit;endlicher Erreichbarkeitsgraph;Sicherheit;Terminierung;1;3;Ein lebendiges Petri-Netz garantiert, dass es immer einen Zustand erreichen kann, von dem aus es zu einem anderen Zustand gelangen kann. Daher schließt dies die Möglichkeit von Deadlocks aus.;published
59;Das Gleichheitsproblem für Erreichbarkeitsmengen von Petri-Netzen ;ist nicht entscheidbar;liegt in NP;liegt in NPSPACE;liegt in EXPSPACE;1;3;Das Gleichheitsproblem für Erreichbarkeitsmengen von Petri-Netzen ist tatsächlich nicht entscheidbar. Es handelt sich um ein bekanntes unentscheidbares Problem in der Theorie der Petri-Netze.;published
60;Für ein gegebenes sicheres Petri-Netz soll der Erreichbarkeitsgraph berechnet werden. Diese Aufgabe ;liegt in EXP;liegt in NP;liegt in P;ist nicht entscheidbar;1;3;Das Berechnen des Erreichbarkeitsgraphen für ein sicheres Petri-Netz liegt in P, nicht in EXP. Dies ist eine effizient lösbare Aufgabe. EXP umfasst Probleme, die exponentiellen Zeit- oder Speicherbedarf haben.;published
62;Angenommen A OR B OR NOT ( C ) sowie A OR NOT B OR D. Was kann man daraus durch Resoultion ableiten?;A OR NOT ( C) OR D ;A;Bestehende T-Invarianten fallen weg;NOT( C ) OR D;1;3;Die Anwendung der Resolution auf die gegebenen Klauseln ergibt die abgeleitete Klausel A OR NOT (C) OR D. Dies ist ein gängiges Anwendungsbeispiel für das Resolutionverfahren in der Aussagenlogik.;published
63;Wie vele verschiedene Variablen sind in der Formel P(x) AND P(y) AND FORALL xQ(x) enthalten?;3;2;1;4;1;3;In der Formel sind drei verschiedene Variablen enthalten: x, y und z.;published
70;Wie viele Zeichen muss das Bandalphabet einer Turing- Maschine mindestestens enthalten;1;0;2;3;1;3;Das Bandalphabet einer Turing-Maschine muss mindestens ein Zeichen enthalten, normalerweise das Blank-Zeichen, das auf dem Band verwendet wird.;published
73;Welche der folgenden Aussagen ist falsch;f(n) e o(f(n));o(f(n))eO(f(n));f(n)eO(f(n));O(f(n))=O(10f(n));1;3;"Die Aussage ist nicht sinnvoll, da die Notation ""f(n) e o(f(n))"" besagt, dass die Funktion f(n) asymptotisch echt kleiner ist als sie selbst, was nicht möglich ist.";published
45;Kann man mit dem Resolutionsverfahren für die Prädikatenlogik mit grundlegender Arithmetik für alle allgemeingültigen Formeln deren Allgemeingültigkeit nachweisen?;Nein, gemäß den Gödelschen Unvollständigkeitssätzen;Nur dann, wenn es einen allgemeinsten Unifikator für die Formel gibt.;Ja, gemäß dem Gödelschen Vollständigkeitssatz.;Nein, das Resolutionsverfahren dient nur zum Nachweis der Erfüllbarkeit.;2;3;Das Resolutionsverfahren und die Prädikatenlogik können nicht alle allgemeingültigen Formeln nachweisen, aufgrund der Gödelschen Unvollständigkeitssätze. Diese besagen, dass es Grenzen für den formalen Beweis innerhalb eines Systems gibt.;published
46;Was bedeutet es, wenn ein endlicher Automat beim Einlesen eines Wortes nicht in einem finalen Zustand ist, wenn er das Wortende erreicht?;Das Wort gehört nicht zu der vom Automaten definierten Sprache.;Das Wort enthält Zeichen, die nicht zum Alphabet gehören.;Das Wort muss ergänzt werden, bevor eine Aussage über die Sprachzugehörigkeit möglich ist.;Das Wort gehört zu der vom Automaten definierten Sprache.;2;3;Ein endlicher Automat akzeptiert ein Wort nur dann, wenn er nach dem Einlesen des gesamten Wortes in einem finalen Zustand ist. Ist dies nicht der Fall, gehört das Wort nicht zur definierten Sprache des Automaten.;published
47;Wie wird ein Automat bezeichnet, bei dem in einem Zustand verschiedene Übergänge möglich sind und der daher einen erfolgreichen Übergang errät (sofern es einen gibt)?;nicht-deterministisch;endlich;Automat mit Epsilon-Kanten;Diese Eigenschaft ist bei Automaten nicht erlaubt;2;3;"Ein nicht-deterministischer Automat (NFA) ist ein Automat, bei dem es für einen gegebenen Zustand und Eingabe mehrere mögliche Übergänge gibt. Der NFA kann ""erraten"", welcher Übergang erfolgreich ist.";published
48;Welches ist die schwächste Grammatik in der Chomsky-Hierarchie?;Reguläre Grammatiken;Kontextfreie Grammatiken;Kontextsensitive Grammatiken;Rekursiv aufzählbare Grammatiken;2;3;Reguläre Grammatiken sind die schwächste Klasse in der Chomsky-Hierarchie. Sie können durch reguläre Ausdrücke und endliche Automaten beschrieben werden.;published
49;Wozu dient eine lexikalische Analyse?;Identifizieren der Bestandteile einer Zeichenkette;Suche in einem Lexikon;Zerlegung eines Wortes in seine einzelnen Zeichen;Übersetzung eines Wortes in eine andere Sprache;2;3;Die lexikalische Analyse ist der erste Schritt im Compilerprozess und dient dazu, eine Zeichenkette in sogenannte Token oder Lexeme zu zerlegen. Dies ermöglicht die Identifizierung grundlegender Bestandteile wie Schlüsselwörter und Symbole.;published
50;Welche der folgenden Sprachklassen ist am umfangreichsten?;kontextsensitive Sprachen;kontextfreie Sprachen;Typ-2-Sprachen;von endlichen Automaten erkannte Sprachen;2;3;Kontextsensitive Sprachen sind am umfangreichsten in der Chomsky-Hierarchie. Sie können durch kontextsensitive Grammatiken beschrieben werden.;published
51;"Welchen Typ hat die folgende Grammatik: S->A;A->aBc;aA->ac;B->baB;B->Aa";kontextsensitiv;Typ 0;regulär;kontextfrei;2;3;Die gegebene Grammatik ist kontextsensitiv, da die Produktionen den Kontext der umgebenden Symbole berücksichtigen.;published
52;Drei der folgenden Beschreibungen definieren die gleiche Klasse von formalen Sprachen. Welche Beschreibung gehört nicht dazu?;Die Sprache wird durch eine Grammatik definiert, bei der alle Regeln eine der Formen A->aB oder A->Ba haben.;Die Sprache wird durch einen endlichen Automaten akzeptiert.;Die Sprache wird durch eine reguläre Grammatik erzeugt.;Die Sprache wird durch einen regulären Ausdruck definiert.;2;3;Diese Beschreibung gehört nicht dazu, da sie die Klasse der regulären Sprachen beschreibt. Die anderen beschreiben kontextfreie Sprachen.;published
61;Welche Auswirkungen hat es auf die T-Invarianten eines Petri-Netzes, wenn man eine zusätzliche Marke an einen Platz des Netzes legt?;keine Auswirkungen;Es ist keine allgemeingültige Aussage möglich;Bestehende T-Invarianten fallen weg;Es gibt zusätzliche T-Invarianten;2;3;Das Hinzufügen einer zusätzlichen Marke zu einem Platz in einem Petri-Netz hat keine Auswirkungen auf die T-Invarianten des Netzes. T-Invarianten bleiben unverändert, da sie von strukturellen Eigenschaften des Netzes abhängen.;published
64;Welche der folgenden Formeln ist allgemeingültig?;FORALL xP(x) OR FORALL yQ(y) => FORALL x(P(x) OR Q(x));FORALL x EXISTS yP(x,y) <=> EXISTS y FORALL xP(x,y);NOT (FORALL xP(x)) <=> FORALL x(NOT(P(X));FORALL x(P(x) OR Q(x)) => FORALL xP(x) OR FORALL yQ(y);2;3;Die gegebene Formel ist allgemeingültig (Tautologie), da sie in jedem möglichen Modell der Aussagenlogik wahr ist. Dies lässt sich durch logische Umformungen nachweisen.;published
71;Typ-0-Sprachen sind;semi-entscheidbar;weder semi-entscheidbar noch entscheidbar;entscheidbar;Der Begriff der Entscheidbarkeit ist auf Sprachen nicht anwendbar;2;3;Typ-0-Sprachen, auch rekursiv aufzählbare Sprachen genannt, sind semi-entscheidbar. Das bedeutet, dass es eine Turing-Maschine gibt, die die Mitgliedschaft in der Sprache akzeptiert, aber es gibt keine garantierte Haltefunktion für Nicht-Mitglieder.;published
74;Jede Aufgabe in NP;hat einen Lösungsalgorithmus in NP;ist in P;ist NP-hart;ist mir einer deterministischen Turing-Maschine nicht entscheidbar;2;3;Dies ist eine der Definitionen von NP (Nichtdeterministisch Polynomialzeit). Wenn eine Aufgabe in NP liegt, bedeutet dies, dass für jede in NP liegende Lösung eine Lösung in polynomialer Zeit überprüft werden kann.;published
53;Ist die Ackermann-Funktion berechenbar und primitiv-rekursiv?;Die Ackermann-Funktion ist berechenbar, aber nicht primitiv-rekursiv.;Die Ackermann-Funktion ist primitiv-rekursiv, aber nicht berechenbar.;Die Ackermann-Funktion ist weder berechenbar noch primitiv-rekursiv.;Die Ackermann-Funktion ist berechenbar und primitiv-rekursiv.;3;3;Die Ackermann-Funktion ist berechenbar, was bedeutet, dass es einen Algorithmus gibt, um ihre Werte zu berechnen. Sie ist jedoch nicht primitiv-rekursiv, da sie komplexer ist als alle primitiv-rekursiven Funktionen und nicht durch die primitiv-rekursiven Konstruktionsregeln definiert werden kann.;published
54;Alle mit einem Programm mit WHILE-Schleifen berechenbaren Funktionen sind ...;mü-rekursiv.;primitiv-rekursiv.;mit einem endlichen Automaten berechenbar.;mit FOR-Schleifen berechenbar;3;3;Wenn eine Funktion durch ein Programm mit WHILE-Schleifen berechenbar ist, dann ist sie mü-rekursiv. Das bedeutet, dass sie durch eine Turing-Maschine mit unbeschränktem Speicher (mü) berechenbar ist.;published
55;Alle mit der Typ-0-Grammatik G erzeugten Worte haben mindestens die Länge 10. Diese Aussage ist;für manche, aber nicht alle Grammatiken G entscheidbar;für alle Grammatiken G entscheidbar;für alle Grammatiken G wahr;für keine Grammatik G entscheidbar;3;3;Die Aussage, dass alle Worte, die durch eine Typ-0-Grammatik G erzeugt werden, mindestens die Länge 10 haben, ist nicht entscheidbar. Es ist nicht algorithmisch überprüfbar, ob dies für alle Grammatiken G gilt.;published
56;Welche der folgenden Aufgaben ist nicht NP-vollständig?;Primfaktorzerlegung;Zerlegungsproblem;Hamilton-Kreise;Problem des Handlungsreisenden;3;3;Die Primfaktorzerlegung ist nicht NP-vollständig. Es gibt effiziente Algorithmen für die Primfaktorzerlegung, aber sie ist auch nicht in P, da sie nicht in polynomieller Zeit gelöst werden kann.;published
57;Bei welcher der folgenden Varianten von Petri-Netzen kann eine Transition an einer Stelle mehrere Marken verbrauchen?;Platz-Transitions-Netze;Bedingungs-Ereignis-Netze;Workflow-Netze;allgemeine Petri-Netze;3;3;In Platz-Transitions-Netzen können Transitionsprozesse mehrere Marken von einem Platz verbrauchen, was zu einer nichtdeterministischen Verhaltensweise führt.;published
65;Gegeben das Prolog-Programm p(x).q(y):-p(y). Welches Ergebnis liefert die Anfrage -q(x)?;false;x=y;ERROR;true;3;3;"Die Anfrage -q(x) würde zu ""false"" ausgewertet werden, da es keine Fakten oder Regeln im Prolog-Programm gibt, die die Anfrage wahr machen würden.";published
66;Welches der folgenden Worte entspricht dem regulären Ausdruck (a|b)c*(d|e|f)?;bcce;bcef;abccd;ccda;3;3;(a|b): Dieser Teil des Ausdrucks bedeutet, dass der Buchstabe entweder 'a' oder 'b' sein kann.c*: Hier steht 'c*', was bedeutet, dass es null oder mehr Vorkommen des Buchstabens 'c' geben kann. (d|e|f): Dieser Teil des Ausdrucks bedeutet, dass der Buchstabe entweder 'd', 'e' der 'f' sein kann. Zusammengefasst sucht der reguläre Ausdruck nach Wörtern, die mit 'a' oder 'b' beginnen, gefolgt von null oder mehr 'c', und schließlich enden mit 'd', 'e' oder 'f'.;published
67;Welcher der folgenden Ausdrücke ist nicht regulär?;a^nb^n;a^nba;(a|b)^n;a^nb^m;3;3;"Der Ausdruck ""a^nb^n"" ist nicht regulär, da reguläre Sprachen nicht in der Lage sind, die Anzahl der Vorkommen eines Zeichens zu überwachen und zu vergleichen.";published
68;Wenn eine Sprache endtlich ist, dann ist sie.... ( gib die kleinste zutreffende Sprachklasse an);regulär;kontextsensitiv;Typ 0;kontextfrei;3;3;Wenn eine Sprache endlich ist, gehört sie zur kleinsten Sprachklasse, nämlich den regulären Sprachen.;published
69;Eine eindeutige Grammatik hat;einen eindeutigen Ableitungsbaum pro Wort;für jedes Nichtterminal auf der linkene Seite eine eindeutige Regel;für jedes Nichtterminal auf der rechten Seite eine eindeutige Regel;einen eindeutigen Ableitungsbaum;3;3;In einer eindeutigen Grammatik führt jedes Wort zu genau einem Ableitungsbaum. Das bedeutet, dass es für jedes Wort der Sprache nur eine Möglichkeit gibt, es durch die Grammatik abzuleiten.;published
72;Welche der folgenden Funktionen wächst am schnellsten;f(n) = n^3/10;f(n) = 4n^2;f(n) = 1000n;f(n) = log(n);3;3;Die Funktion wächst am schnellsten, wenn der höchste Potenzterm vorliegt. In diesem Fall ist es nÂ³, und die Konstante (1/10) hat keinen Einfluss auf das Wachstum. Daher wächst die Funktion am schnellsten mit f(n) = n^3.;published
75;Angenommen eine Aufgabe ist in PSPACE. Dann ist sie auch ..;in EXP;in NP;NP-vollständig;in PTIME;3;3;Wenn eine Aufgabe in PSPACE liegt, bedeutet das, dass sie von einer deterministischen Turing-Maschine mit polynomialem Platz gelöst werden kann. Da EXP (exponentielle Zeit) auch polynomiellen Platz enthält, liegt die Aufgabe auch in EXP.;published
